n,type,avg_time_micro
33500,random,5559.4
33500,reversed,3046.4
33500,nearly,3261.8
33600,random,5586.4
33600,reversed,3188.2
33600,nearly,3340.2
33700,random,5564
33700,reversed,3093.8
33700,nearly,3281.2
33800,random,5627
33800,reversed,3156
33800,nearly,3300
33900,random,5570.8
33900,reversed,3179.2
33900,nearly,3441.8
34000,random,5634.2
34000,reversed,3121.4
34000,nearly,3290.6
34100,random,5670.6
34100,reversed,3106.4
34100,nearly,3473.2
34200,random,5723.4
34200,reversed,3212.2
34200,nearly,3427
34300,random,5739.6
34300,reversed,3281.4
34300,nearly,3362.8
34400,random,5679.6
34400,reversed,3341.2
34400,nearly,3636.8
34500,random,5757.2
34500,reversed,3175.6
34500,nearly,3320.6
34600,random,5767.4
34600,reversed,3271.4
34600,nearly,3334.2
34700,random,5691.6
34700,reversed,3414
34700,nearly,3588.4
34800,random,5802.6
34800,reversed,3381.2
34800,nearly,3425.6
34900,random,5823.2
34900,reversed,3266
34900,nearly,3535.8
35000,random,5914.6
35000,reversed,3225.8
35000,nearly,3388.4
35100,random,5800.2
35100,reversed,3248.6
35100,nearly,3597.2
35200,random,5980.6
35200,reversed,3343
35200,nearly,3526.6
35300,random,5908
35300,reversed,3312
35300,nearly,3545.4
35400,random,5918.4
35400,reversed,3365
35400,nearly,3482.2
35500,random,5952.8
35500,reversed,3368.6
35500,nearly,3667.2
35600,random,5970.4
35600,reversed,3413.4
35600,nearly,3795.6
35700,random,5984.4
35700,reversed,3350.4
35700,nearly,3605.6
35800,random,5877.2
35800,reversed,3306.6
35800,nearly,3410
35900,random,5960.4
35900,reversed,3333.4
35900,nearly,3446
36000,random,5989.2
36000,reversed,3435.8
36000,nearly,3530.4
36100,random,6107.2
36100,reversed,3505.8
36100,nearly,3610.2
36200,random,6095
36200,reversed,3565.8
36200,nearly,3575.6
36300,random,6054.6
36300,reversed,3493.8
36300,nearly,3643.8
36400,random,6166.4
36400,reversed,3534.6
36400,nearly,3759.8
36500,random,6164
36500,reversed,3451.8
36500,nearly,3484.8
36600,random,6070.2
36600,reversed,3415.4
36600,nearly,3522.8
36700,random,6057.4
36700,reversed,3396.4
36700,nearly,3620.4
36800,random,6036.4
36800,reversed,3515.6
36800,nearly,3738.8
36900,random,6220
36900,reversed,3437.2
36900,nearly,3745.2
37000,random,6234.8
37000,reversed,3444.4
37000,nearly,3622.8
37100,random,6111.6
37100,reversed,3588.6
37100,nearly,3676.8
37200,random,6231
37200,reversed,3499.6
37200,nearly,3770.2
37300,random,6251.4
37300,reversed,3503
37300,nearly,3722.8
37400,random,6249.6
37400,reversed,3434.4
37400,nearly,3751.8
37500,random,6288.2
37500,reversed,3632.4
37500,nearly,3722.8
37600,random,6166.6
37600,reversed,3460.4
37600,nearly,3738.2
37700,random,6308.2
37700,reversed,3510
37700,nearly,3788
37800,random,6335.8
37800,reversed,3539.2
37800,nearly,3698.4
37900,random,6344.4
37900,reversed,3553
37900,nearly,3693.2
38000,random,6397
38000,reversed,3587.8
38000,nearly,3676
38100,random,6233.8
38100,reversed,3484.4
38100,nearly,3653.6
38200,random,6336
38200,reversed,3572.2
38200,nearly,3683.6
38300,random,6430.2
38300,reversed,3575.4
38300,nearly,3726.2
38400,random,6490
38400,reversed,3590.8
38400,nearly,3818.2
38500,random,6427.2
38500,reversed,3669
38500,nearly,3740.2
38600,random,6446.2
38600,reversed,3768.2
38600,nearly,3863
38700,random,6422.8
38700,reversed,3729.8
38700,nearly,3865.8
